iteration,step_size,model_name,accuracy,batch_size
5,5,resnet32.pt,0.6343167701863354,64
6,5,resnet32.pt,0.6048136645962733,64
7,5,resnet32.pt,0.6358695652173914,64
4,5,resnet32.pt,0.6288819875776398,64
3,5,resnet32.pt,0.6257763975155279,64
2,3,resnet32.pt,0.6071428571428571,64
9,6,resnet32.pt,0.6358695652173914,64
1,6,resnet32.pt,0.6312111801242236,64
8,6,resnet32.pt,0.6459627329192547,64
5,6,resnet32.pt,0.6265527950310559,64
10,6,resnet32.pt,0.6343167701863354,64
7,6,resnet32.pt,0.6273291925465838,64
4,6,resnet32.pt,0.6125776397515528,64
6,6,resnet32.pt,0.6281055900621118,64
3,6,resnet32.pt,0.6288819875776398,64
2,4,resnet32.pt,0.6482919254658385,64
1,7,resnet32.pt,0.6444099378881988,64
