model_name,iteration,accuracy
ensemble_model_8,18,0.9984
ensemble_model_8,4,0.9984
ensemble_model_8,13,0.9984
ensemble_model_7,16,0.9986
ensemble_model_9,15,0.9983
ensemble_model_7,8,0.9986
ensemble_model_8,7,0.9984
ensemble_model_8,14,0.9984
ensemble_model_9,10,0.9983
ensemble_model_8,20,0.9984
ensemble_model_8,12,0.9984
ensemble_model_8,1,0.9984
ensemble_model_8,17,0.9984
ensemble_model_8,2,0.9984
ensemble_model_9,5,0.9983
ensemble_model_9,3,0.9983
ensemble_model_9,11,0.9983
ensemble_model_8,9,0.9984
ensemble_model_8,6,0.9984
ensemble_model_9,13,0.9983
ensemble_model_8,19,0.9984
ensemble_model_9,4,0.9983
ensemble_model_9,18,0.9983
ensemble_model_8,16,0.9984
ensemble_model_9,7,0.9983
ensemble_model_10,15,0.9979
ensemble_model_8,8,0.9984
ensemble_model_9,20,0.9983
ensemble_model_9,14,0.9983
ensemble_model_10,10,0.9979
ensemble_model_9,2,0.9983
ensemble_model_9,12,0.9983
ensemble_model_9,1,0.9983
ensemble_model_9,17,0.9983
ensemble_model_10,11,0.9979
ensemble_model_10,5,0.9979
ensemble_model_9,6,0.9983
ensemble_model_10,3,0.9979
ensemble_model_9,19,0.9983
ensemble_model_10,18,0.9979
ensemble_model_10,13,0.9979
ensemble_model_9,9,0.9983
ensemble_model_9,8,0.9983
ensemble_model_10,4,0.9979
ensemble_model_10,7,0.9979
ensemble_model_9,16,0.9983
ensemble_model_11,15,0.9982
ensemble_model_10,20,0.9979
ensemble_model_10,2,0.9979
ensemble_model_11,11,0.9982
ensemble_model_10,14,0.9979
ensemble_model_11,10,0.9982
ensemble_model_10,1,0.9979
ensemble_model_10,17,0.9979
ensemble_model_10,12,0.9979
ensemble_model_10,6,0.9979
ensemble_model_10,19,0.9979
ensemble_model_11,5,0.9982
ensemble_model_11,18,0.9982
ensemble_model_10,8,0.9979
ensemble_model_11,13,0.9982
ensemble_model_11,3,0.9982
ensemble_model_11,7,0.9982
ensemble_model_10,9,0.9979
ensemble_model_11,2,0.9982
ensemble_model_11,4,0.9982
ensemble_model_12,11,0.9981
ensemble_model_12,15,0.9981
ensemble_model_10,16,0.9979
ensemble_model_11,20,0.9982
ensemble_model_11,1,0.9982
ensemble_model_11,17,0.9982
ensemble_model_11,14,0.9982
ensemble_model_11,12,0.9982
ensemble_model_11,19,0.9982
ensemble_model_12,18,0.9981
ensemble_model_12,10,0.9981
ensemble_model_11,8,0.9982
ensemble_model_11,6,0.9982
ensemble_model_12,13,0.9981
ensemble_model_12,5,0.9981
ensemble_model_12,7,0.9981
ensemble_model_12,3,0.9981
ensemble_model_11,9,0.9982
ensemble_model_12,1,0.9981
ensemble_model_12,2,0.9981
ensemble_model_11,16,0.9982
ensemble_model_12,4,0.9981
ensemble_model_13,15,0.9988
ensemble_model_13,11,0.9988
ensemble_model_12,20,0.9981
ensemble_model_12,12,0.9981
ensemble_model_13,18,0.9988
ensemble_model_12,17,0.9981
ensemble_model_12,19,0.9981
ensemble_model_12,8,0.9981
ensemble_model_12,14,0.9981
ensemble_model_13,13,0.9988
ensemble_model_13,10,0.9988
ensemble_model_13,7,0.9988
ensemble_model_12,6,0.9981
ensemble_model_13,5,0.9988
ensemble_model_13,3,0.9988
ensemble_model_13,1,0.9988
ensemble_model_13,2,0.9988
ensemble_model_12,16,0.9981
ensemble_model_12,9,0.9981
ensemble_model_14,18,0.9984
ensemble_model_13,19,0.9988
ensemble_model_13,4,0.9988
ensemble_model_13,8,0.9988
ensemble_model_14,15,0.9984
ensemble_model_13,20,0.9988
ensemble_model_14,11,0.9984
ensemble_model_13,12,0.9988
ensemble_model_13,17,0.9988
ensemble_model_14,13,0.9984
